date,year,month,slot,slot_label,MAX,MIN,DTR,AW,RF,EVP,DRNRF,SSH,RF_3d,RF_7d,MAX_3d_avg,MIN_3d_avg,DTR_3d_avg,RF_lag1,MAX_lag1,MIN_lag1,LABEL_lag1,MONTH_sin,MONTH_cos,DOY_sin,DOY_cos,SEASON,HA_flag,RF_nonzero,CAPE,K_INDEX,LIFTED_INDEX,TOTALS_TOTALS,PRECIP_WATER,ERA5_T2M,ERA5_D2M,ERA5_U10,ERA5_V10,ERA5_CAPE,ERA5_SP,ERA5_t_500hPa,ERA5_t_700hPa,ERA5_t_850hPa,ERA5_q_500hPa,ERA5_q_700hPa,ERA5_q_850hPa,ERA5_u_500hPa,ERA5_u_700hPa,ERA5_u_850hPa,ERA5_v_500hPa,ERA5_v_700hPa,ERA5_v_850hPa,slot_sin,slot_cos,slot_month_clim,doy_sin,doy_cos,ts_label_lag1_slot,ts_any_yesterday,ts_label
2015-01-02,2015,1,0,0001-0600,29.1,17.6,11.5,2.0,1.4,2.9,95.0,306.0,0.2000000000000018,5.999999999999979,29.366666666666674,20.33333333333334,9.6,0.0,29.5,20.3,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,1.0,0.0,24.367461683444503,-1.137687107896852,42.83288429426915,22.73794956273433,300.12915,289.12195,-0.44570923,2.1407166,0.0,91473.5,267.62683,280.8863,292.66797,0.00034313696,0.0036997253,0.010504868,6.8977814,2.328949,-0.6019745,13.443054,6.811264,4.789276,0.0,1.0,0.0,0.03442161162274574,0.9994074007397048,0,0,0
2015-01-02,2015,1,1,0601-1200,29.1,17.6,11.5,2.0,1.4,2.9,95.0,306.0,0.2000000000000018,5.999999999999979,29.366666666666674,20.33333333333334,9.6,0.0,29.5,20.3,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,1.0,0.0,24.367461683444503,-1.137687107896852,42.83288429426915,22.73794956273433,300.12915,289.12195,-0.44570923,2.1407166,0.0,91473.5,267.62683,280.8863,292.66797,0.00034313696,0.0036997253,0.010504868,6.8977814,2.328949,-0.6019745,13.443054,6.811264,4.789276,1.0,6.123233995736766e-17,0.0,0.03442161162274574,0.9994074007397048,0,0,0
2015-01-02,2015,1,2,1201-1800,29.1,17.6,11.5,2.0,1.4,2.9,95.0,306.0,0.2000000000000018,5.999999999999979,29.366666666666674,20.33333333333334,9.6,0.0,29.5,20.3,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,1.0,0.0,24.367461683444503,-1.137687107896852,42.83288429426915,22.73794956273433,300.12915,289.12195,-0.44570923,2.1407166,0.0,91473.5,267.62683,280.8863,292.66797,0.00034313696,0.0036997253,0.010504868,6.8977814,2.328949,-0.6019745,13.443054,6.811264,4.789276,1.2246467991473532e-16,-1.0,0.0,0.03442161162274574,0.9994074007397048,0,0,0
2015-01-02,2015,1,3,1801-2400,29.1,17.6,11.5,2.0,1.4,2.9,95.0,306.0,0.2000000000000018,5.999999999999979,29.366666666666674,20.33333333333334,9.6,0.0,29.5,20.3,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,1.0,0.0,24.367461683444503,-1.137687107896852,42.83288429426915,22.73794956273433,300.12915,289.12195,-0.44570923,2.1407166,0.0,91473.5,267.62683,280.8863,292.66797,0.00034313696,0.0036997253,0.010504868,6.8977814,2.328949,-0.6019745,13.443054,6.811264,4.789276,-1.0,-1.8369701987210297e-16,0.0,0.03442161162274574,0.9994074007397048,0,0,0
2015-01-03,2015,1,0,0001-0600,29.2,18.7,10.5,2.0,0.0,3.6,0.0,366.0,1.4,1.4,29.1,17.6,11.5,1.4,29.1,17.6,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,1.5,19.68665927284144,0.609364005545217,39.23534167709113,20.463323497621147,299.88623,288.7815,-0.777359,1.1491852,1.5,91536.19,268.9076,280.68042,292.7896,0.0001535278,0.003037414,0.009726778,9.980057,6.3722076,-0.9505768,6.8466797,3.1414032,2.5271454,0.0,1.0,0.0,0.051619667223253764,0.998666816288476,0,0,0
2015-01-03,2015,1,1,0601-1200,29.2,18.7,10.5,2.0,0.0,3.6,0.0,366.0,1.4,1.4,29.1,17.6,11.5,1.4,29.1,17.6,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,1.5,19.68665927284144,0.609364005545217,39.23534167709113,20.463323497621147,299.88623,288.7815,-0.777359,1.1491852,1.5,91536.19,268.9076,280.68042,292.7896,0.0001535278,0.003037414,0.009726778,9.980057,6.3722076,-0.9505768,6.8466797,3.1414032,2.5271454,1.0,6.123233995736766e-17,0.0,0.051619667223253764,0.998666816288476,0,0,0
2015-01-03,2015,1,2,1201-1800,29.2,18.7,10.5,2.0,0.0,3.6,0.0,366.0,1.4,1.4,29.1,17.6,11.5,1.4,29.1,17.6,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,1.5,19.68665927284144,0.609364005545217,39.23534167709113,20.463323497621147,299.88623,288.7815,-0.777359,1.1491852,1.5,91536.19,268.9076,280.68042,292.7896,0.0001535278,0.003037414,0.009726778,9.980057,6.3722076,-0.9505768,6.8466797,3.1414032,2.5271454,1.2246467991473532e-16,-1.0,0.0,0.051619667223253764,0.998666816288476,0,0,0
2015-01-03,2015,1,3,1801-2400,29.2,18.7,10.5,2.0,0.0,3.6,0.0,366.0,1.4,1.4,29.1,17.6,11.5,1.4,29.1,17.6,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,1.5,19.68665927284144,0.609364005545217,39.23534167709113,20.463323497621147,299.88623,288.7815,-0.777359,1.1491852,1.5,91536.19,268.9076,280.68042,292.7896,0.0001535278,0.003037414,0.009726778,9.980057,6.3722076,-0.9505768,6.8466797,3.1414032,2.5271454,-1.0,-1.8369701987210297e-16,0.0,0.051619667223253764,0.998666816288476,0,0,0
2015-01-04,2015,1,0,0001-0600,28.3,19.0,9.3,2.0,0.0,4.1,0.0,378.0,1.4,1.4,29.15,18.15,11.0,0.0,29.2,18.7,0.0,0.4999999999999999,0.8660254037844387,0.0688024268023198,0.9976303053065856,0.0,0.0,0.0,0.0,6.248606136863145,1.659359250317607,38.387096886376185,16.178300880400535,300.57257,287.5182,-1.0986023,0.664505,0.0,91545.25,269.09784,282.16504,293.2688,0.00012511408,0.0012107447,0.009128809,-5.211838,5.86705,-2.3017883,-7.115509,0.39762878,0.9377136,0.0,1.0,0.0,0.06880242680231986,0.9976303053065857,0,0,0
2015-01-04,2015,1,1,0601-1200,28.3,19.0,9.3,2.0,0.0,4.1,0.0,378.0,1.4,1.4,29.15,18.15,11.0,0.0,29.2,18.7,0.0,0.4999999999999999,0.8660254037844387,0.0688024268023198,0.9976303053065856,0.0,0.0,0.0,0.0,6.248606136863145,1.659359250317607,38.387096886376185,16.178300880400535,300.57257,287.5182,-1.0986023,0.664505,0.0,91545.25,269.09784,282.16504,293.2688,0.00012511408,0.0012107447,0.009128809,-5.211838,5.86705,-2.3017883,-7.115509,0.39762878,0.9377136,1.0,6.123233995736766e-17,0.0,0.06880242680231986,0.9976303053065857,0,0,0
2015-01-04,2015,1,2,1201-1800,28.3,19.0,9.3,2.0,0.0,4.1,0.0,378.0,1.4,1.4,29.15,18.15,11.0,0.0,29.2,18.7,0.0,0.4999999999999999,0.8660254037844387,0.0688024268023198,0.9976303053065856,0.0,0.0,0.0,0.0,6.248606136863145,1.659359250317607,38.387096886376185,16.178300880400535,300.57257,287.5182,-1.0986023,0.664505,0.0,91545.25,269.09784,282.16504,293.2688,0.00012511408,0.0012107447,0.009128809,-5.211838,5.86705,-2.3017883,-7.115509,0.39762878,0.9377136,1.2246467991473532e-16,-1.0,0.0,0.06880242680231986,0.9976303053065857,0,0,0
2015-01-04,2015,1,3,1801-2400,28.3,19.0,9.3,2.0,0.0,4.1,0.0,378.0,1.4,1.4,29.15,18.15,11.0,0.0,29.2,18.7,0.0,0.4999999999999999,0.8660254037844387,0.0688024268023198,0.9976303053065856,0.0,0.0,0.0,0.0,6.248606136863145,1.659359250317607,38.387096886376185,16.178300880400535,300.57257,287.5182,-1.0986023,0.664505,0.0,91545.25,269.09784,282.16504,293.2688,0.00012511408,0.0012107447,0.009128809,-5.211838,5.86705,-2.3017883,-7.115509,0.39762878,0.9377136,-1.0,-1.8369701987210297e-16,0.0,0.06880242680231986,0.9976303053065857,0,0,0
2015-01-05,2015,1,0,0001-0600,28.8,18.4,10.400000000000002,2.0,0.0,5.2,0.0,474.0,1.4,1.4,28.866666666666664,18.433333333333334,10.433333333333334,0.0,28.3,19.0,0.0,0.4999999999999999,0.8660254037844387,0.0859647987374464,0.9962981749346078,0.0,0.0,0.0,1.25,25.449283426701925,1.5226743427151632,38.59054149497217,22.23669428777487,300.46375,287.3717,-1.1420441,0.14405823,1.25,91525.56,268.79077,279.68542,293.1925,0.00034677866,0.0046195686,0.008925591,-11.194534,0.87283325,-2.374878,-4.2104797,-2.1798859,-0.31089783,0.0,1.0,0.0,0.08596479873744647,0.9962981749346078,0,0,0
2015-01-05,2015,1,1,0601-1200,28.8,18.4,10.400000000000002,2.0,0.0,5.2,0.0,474.0,1.4,1.4,28.866666666666664,18.433333333333334,10.433333333333334,0.0,28.3,19.0,0.0,0.4999999999999999,0.8660254037844387,0.0859647987374464,0.9962981749346078,0.0,0.0,0.0,1.25,25.449283426701925,1.5226743427151632,38.59054149497217,22.23669428777487,300.46375,287.3717,-1.1420441,0.14405823,1.25,91525.56,268.79077,279.68542,293.1925,0.00034677866,0.0046195686,0.008925591,-11.194534,0.87283325,-2.374878,-4.2104797,-2.1798859,-0.31089783,1.0,6.123233995736766e-17,0.0,0.08596479873744647,0.9962981749346078,0,0,0
2015-01-05,2015,1,2,1201-1800,28.8,18.4,10.400000000000002,2.0,0.0,5.2,0.0,474.0,1.4,1.4,28.866666666666664,18.433333333333334,10.433333333333334,0.0,28.3,19.0,0.0,0.4999999999999999,0.8660254037844387,0.0859647987374464,0.9962981749346078,0.0,0.0,0.0,1.25,25.449283426701925,1.5226743427151632,38.59054149497217,22.23669428777487,300.46375,287.3717,-1.1420441,0.14405823,1.25,91525.56,268.79077,279.68542,293.1925,0.00034677866,0.0046195686,0.008925591,-11.194534,0.87283325,-2.374878,-4.2104797,-2.1798859,-0.31089783,1.2246467991473532e-16,-1.0,0.0,0.08596479873744647,0.9962981749346078,0,0,0
2015-01-05,2015,1,3,1801-2400,28.8,18.4,10.400000000000002,2.0,0.0,5.2,0.0,474.0,1.4,1.4,28.866666666666664,18.433333333333334,10.433333333333334,0.0,28.3,19.0,0.0,0.4999999999999999,0.8660254037844387,0.0859647987374464,0.9962981749346078,0.0,0.0,0.0,1.25,25.449283426701925,1.5226743427151632,38.59054149497217,22.23669428777487,300.46375,287.3717,-1.1420441,0.14405823,1.25,91525.56,268.79077,279.68542,293.1925,0.00034677866,0.0046195686,0.008925591,-11.194534,0.87283325,-2.374878,-4.2104797,-2.1798859,-0.31089783,-1.0,-1.8369701987210297e-16,0.0,0.08596479873744647,0.9962981749346078,0,0,0
