,cape_mean,cape_std,cape_p10,cape_p25,cape_p75,cape_p90,ki_mean,ki_std,ts_rate,n_days,n_ts_events
Jan,4.875,22.134,0.0,0.0,0.812,10.125,11.329,17.505,0.0,311,0
Feb,7.032,52.927,0.0,0.0,0.0,3.075,14.45,16.367,0.014,285,4
Mar,42.857,182.342,0.0,0.0,0.0,58.163,27.927,8.579,0.062,340,21
Apr,155.383,388.095,0.0,0.0,59.906,554.75,34.569,5.402,0.19,326,62
May,585.504,697.454,0.0,43.562,942.438,1606.338,37.763,3.436,0.34,338,115
Jun,344.525,483.144,6.7,44.75,415.0,992.55,37.076,2.528,0.164,329,54
Jul,158.144,221.333,2.25,18.688,191.188,377.2,36.527,2.207,0.096,312,30
Aug,157.708,196.836,1.225,25.062,215.5,448.5,36.212,2.784,0.126,310,39
Sep,232.853,320.885,0.25,11.25,323.0,707.262,35.884,3.275,0.179,280,50
Oct,224.685,340.194,0.0,1.0,302.875,711.3,32.953,8.634,0.195,339,66
Nov,68.433,147.133,0.0,0.0,59.125,189.4,26.873,13.951,0.043,329,14
Dec,16.053,48.042,0.0,0.0,10.125,37.35,17.515,17.328,0.006,320,2
