date,slot,slot_label,probability,predicted,threshold,model_version,issued_at,cape_used,k_index_used,logged_at
2026-04-01,0,0001-0600 IST,0.1396,0,0.29,v3_calibrated,2026-04-01 05:00 IST,,,
2026-04-01,1,0601-1200 IST,0.0977,0,0.41,v3_calibrated,2026-04-01 05:00 IST,,,
2026-04-01,2,1201-1800 IST,0.1519,0,0.34,v3_calibrated,2026-04-01 05:00 IST,,,
2026-04-01,3,1801-2400 IST,0.3295,0,0.6,v3_calibrated,2026-04-01 05:00 IST,,,
2026-04-02,0,0001-0600 IST,0.0237,0,0.29,v3_calibrated,2026-04-02 05:00 IST,,,
2026-04-02,1,0601-1200 IST,0.01,0,0.41,v3_calibrated,2026-04-02 05:00 IST,,,
2026-04-02,2,1201-1800 IST,0.209,0,0.34,v3_calibrated,2026-04-02 05:00 IST,,,
2026-04-02,3,1801-2400 IST,0.01,0,0.6,v3_calibrated,2026-04-02 05:00 IST,,,
2026-04-03,0,0001-0600 IST,0.01,0,0.29,v3_calibrated,2026-04-03 05:00 IST,,,
2026-04-03,1,0601-1200 IST,0.01,0,0.41,v3_calibrated,2026-04-03 05:00 IST,,,
2026-04-03,2,1201-1800 IST,0.3559,1,0.34,v3_calibrated,2026-04-03 05:00 IST,,,
2026-04-03,3,1801-2400 IST,0.1481,0,0.6,v3_calibrated,2026-04-03 05:00 IST,,,
2026-04-04,0,0001-0600 IST,0.0147,0,0.29,v3_calibrated,2026-04-04 05:00 IST,,,
2026-04-04,1,0601-1200 IST,0.01,0,0.41,v3_calibrated,2026-04-04 05:00 IST,,,
2026-04-04,2,1201-1800 IST,0.1079,0,0.34,v3_calibrated,2026-04-04 05:00 IST,,,
2026-04-04,3,1801-2400 IST,0.0678,0,0.6,v3_calibrated,2026-04-04 05:00 IST,,,
2026-04-05,0,0001-0600 IST,0.0784,0,0.29,v3_calibrated,2026-04-05 05:00 IST,,,
2026-04-05,1,0601-1200 IST,0.1187,0,0.41,v3_calibrated,2026-04-05 05:00 IST,,,
2026-04-05,2,1201-1800 IST,0.2051,0,0.34,v3_calibrated,2026-04-05 05:00 IST,,,
2026-04-05,3,1801-2400 IST,0.01,0,0.6,v3_calibrated,2026-04-05 05:00 IST,,,
2026-04-06,0,0001-0600 IST,0.1686,0,0.29,v3_calibrated,2026-04-06 05:00 IST,,,
2026-04-06,1,0601-1200 IST,0.01,0,0.41,v3_calibrated,2026-04-06 05:00 IST,,,
2026-04-06,2,1201-1800 IST,0.01,0,0.34,v3_calibrated,2026-04-06 05:00 IST,,,
2026-04-06,3,1801-2400 IST,0.0847,0,0.6,v3_calibrated,2026-04-06 05:00 IST,,,
2026-04-07,0,0001-0600 IST,0.1212,0,0.29,v3_calibrated,2026-04-07 05:00 IST,,,
2026-04-07,1,0601-1200 IST,0.0589,0,0.41,v3_calibrated,2026-04-07 05:00 IST,,,
2026-04-07,2,1201-1800 IST,0.0988,0,0.34,v3_calibrated,2026-04-07 05:00 IST,,,
2026-04-07,3,1801-2400 IST,0.2637,0,0.6,v3_calibrated,2026-04-07 05:00 IST,,,
