feature,mean_shap,slot,slot_label,rank
LABEL_lag1,0.65033376,0,0001-0600 IST,1
CAPE,0.58874375,0,0001-0600 IST,2
LIFTED_INDEX,0.574044,0,0001-0600 IST,3
DRNRF,0.4590765,0,0001-0600 IST,4
RF,0.380964,0,0001-0600 IST,5
MIN_3d_avg,0.37802956,0,0001-0600 IST,6
TOTALS_TOTALS,0.36496446,0,0001-0600 IST,7
ERA5_u_700hPa,0.34545508,0,0001-0600 IST,8
K_INDEX,0.30952576,0,0001-0600 IST,9
PRECIP_WATER,0.25399414,0,0001-0600 IST,10
ERA5_q_500hPa,0.23186995,0,0001-0600 IST,11
ERA5_SP,0.22039711,0,0001-0600 IST,12
ERA5_v_850hPa,0.21786676,0,0001-0600 IST,13
slot_month_clim,0.20273887,0,0001-0600 IST,14
ERA5_V10,0.19045614,0,0001-0600 IST,15
DTR,0.1469586,0,0001-0600 IST,16
ts_any_yesterday,0.14372532,0,0001-0600 IST,17
EVP,0.13996077,0,0001-0600 IST,18
ERA5_T2M,0.1391945,0,0001-0600 IST,19
ERA5_u_850hPa,0.12507226,0,0001-0600 IST,20
DTR_3d_avg,0.12399716,0,0001-0600 IST,21
ERA5_u_500hPa,0.1223989,0,0001-0600 IST,22
MAX,0.11811236,0,0001-0600 IST,23
ERA5_q_850hPa,0.116748765,0,0001-0600 IST,24
DOY_cos,0.11301961,0,0001-0600 IST,25
MIN,0.11201698,0,0001-0600 IST,26
ERA5_CAPE,0.10838483,0,0001-0600 IST,27
ERA5_t_700hPa,0.106140256,0,0001-0600 IST,28
AW,0.09986249,0,0001-0600 IST,29
RF_lag1,0.098398685,0,0001-0600 IST,30
ERA5_q_700hPa,0.09643101,0,0001-0600 IST,31
ERA5_t_500hPa,0.09271925,0,0001-0600 IST,32
MAX_3d_avg,0.08427502,0,0001-0600 IST,33
RF_3d,0.083351135,0,0001-0600 IST,34
ERA5_v_500hPa,0.08120874,0,0001-0600 IST,35
RF_7d,0.08051117,0,0001-0600 IST,36
DOY_sin,0.06765918,0,0001-0600 IST,37
SSH,0.06132856,0,0001-0600 IST,38
ERA5_v_700hPa,0.05635192,0,0001-0600 IST,39
ERA5_U10,0.04810055,0,0001-0600 IST,40
MIN_lag1,0.042398367,0,0001-0600 IST,41
ERA5_D2M,0.035719007,0,0001-0600 IST,42
ERA5_t_850hPa,0.03014052,0,0001-0600 IST,43
MAX_lag1,0.02583824,0,0001-0600 IST,44
MONTH_cos,0.013513318,0,0001-0600 IST,45
doy_cos,0.013426881,0,0001-0600 IST,46
doy_sin,0.007824979,0,0001-0600 IST,47
RF_nonzero,0.00558733,0,0001-0600 IST,48
ts_label_lag1_slot,0.0048631765,0,0001-0600 IST,49
MONTH_sin,0.0022527978,0,0001-0600 IST,50
SEASON,0.0,0,0001-0600 IST,51
HA_flag,0.0,0,0001-0600 IST,52
slot_cos,0.0,0,0001-0600 IST,53
slot_sin,0.0,0,0001-0600 IST,54
RF,0.7396032,1,0601-1200 IST,1
ts_any_yesterday,0.6468311,1,0601-1200 IST,2
CAPE,0.5987013,1,0601-1200 IST,3
ERA5_u_700hPa,0.5493852,1,0601-1200 IST,4
DRNRF,0.47179705,1,0601-1200 IST,5
