feature,mean_shap,slot,slot_label,rank
CAPE,0.5647736,0,0001-0600 IST,1
LABEL_lag1,0.46599638,0,0001-0600 IST,2
LIFTED_INDEX,0.4168657,0,0001-0600 IST,3
DRNRF,0.3965547,0,0001-0600 IST,4
MIN_3d_avg,0.36557627,0,0001-0600 IST,5
ERA5_q_500hPa,0.363075,0,0001-0600 IST,6
RF,0.36161268,0,0001-0600 IST,7
ERA5_u_850hPa,0.33543327,0,0001-0600 IST,8
ERA5_q_700hPa,0.2958267,0,0001-0600 IST,9
K_INDEX,0.29206973,0,0001-0600 IST,10
PRECIP_WATER,0.27089375,0,0001-0600 IST,11
TOTALS_TOTALS,0.24299961,0,0001-0600 IST,12
ERA5_v_850hPa,0.21811587,0,0001-0600 IST,13
ERA5_CAPE,0.19962926,0,0001-0600 IST,14
ERA5_V10,0.19869643,0,0001-0600 IST,15
ts_any_yesterday,0.19180277,0,0001-0600 IST,16
ERA5_v_500hPa,0.17907524,0,0001-0600 IST,17
MAX,0.17578427,0,0001-0600 IST,18
DTR,0.13629217,0,0001-0600 IST,19
RF_3d,0.13524917,0,0001-0600 IST,20
slot_month_clim,0.13062125,0,0001-0600 IST,21
DOY_cos,0.12839474,0,0001-0600 IST,22
RF_7d,0.12343119,0,0001-0600 IST,23
EVP,0.122955255,0,0001-0600 IST,24
ERA5_v_700hPa,0.11921118,0,0001-0600 IST,25
ERA5_u_700hPa,0.11632102,0,0001-0600 IST,26
ERA5_D2M,0.116030104,0,0001-0600 IST,27
ERA5_t_850hPa,0.11440789,0,0001-0600 IST,28
DTR_3d_avg,0.109559976,0,0001-0600 IST,29
MAX_3d_avg,0.10934551,0,0001-0600 IST,30
ERA5_t_500hPa,0.106025375,0,0001-0600 IST,31
ERA5_q_850hPa,0.105874404,0,0001-0600 IST,32
DOY_sin,0.10162561,0,0001-0600 IST,33
ERA5_SP,0.0987288,0,0001-0600 IST,34
ERA5_U10,0.08268256,0,0001-0600 IST,35
ERA5_u_500hPa,0.077809036,0,0001-0600 IST,36
ERA5_T2M,0.07731774,0,0001-0600 IST,37
SSH,0.076008566,0,0001-0600 IST,38
RF_lag1,0.07031543,0,0001-0600 IST,39
MIN,0.05709235,0,0001-0600 IST,40
ERA5_t_700hPa,0.04425617,0,0001-0600 IST,41
MIN_lag1,0.042263232,0,0001-0600 IST,42
MAX_lag1,0.036689132,0,0001-0600 IST,43
AW,0.022833804,0,0001-0600 IST,44
doy_cos,0.017294979,0,0001-0600 IST,45
SEASON,0.013574313,0,0001-0600 IST,46
RF_nonzero,0.013012809,0,0001-0600 IST,47
doy_sin,0.010363622,0,0001-0600 IST,48
MONTH_cos,0.009276153,0,0001-0600 IST,49
ts_label_lag1_slot,0.007738964,0,0001-0600 IST,50
MONTH_sin,0.0017457885,0,0001-0600 IST,51
HA_flag,0.0,0,0001-0600 IST,52
slot_cos,0.0,0,0001-0600 IST,53
slot_sin,0.0,0,0001-0600 IST,54
ts_any_yesterday,0.7434833,1,0601-1200 IST,1
CAPE,0.67442906,1,0601-1200 IST,2
RF,0.5919686,1,0601-1200 IST,3
ERA5_q_700hPa,0.5164079,1,0601-1200 IST,4
DRNRF,0.46440968,1,0601-1200 IST,5
ERA5_u_850hPa,0.3808078,1,0601-1200 IST,6
ERA5_u_700hPa,0.36198977,1,0601-1200 IST,7
TOTALS_TOTALS,0.33382258,1,0601-1200 IST,8
ERA5_CAPE,0.29796144,1,0601-1200 IST,9
RF_7d,0.2640417,1,0601-1200 IST,10
MAX,0.24842288,1,0601-1200 IST,11
MIN_3d_avg,0.24636166,1,0601-1200 IST,12
MIN_lag1,0.24594086,1,0601-1200 IST,13
DTR,0.21266139,1,0601-1200 IST,14
ERA5_U10,0.2075017,1,0601-1200 IST,15
K_INDEX,0.20383751,1,0601-1200 IST,16
MIN,0.20152633,1,0601-1200 IST,17
slot_month_clim,0.18373843,1,0601-1200 IST,18
ERA5_T2M,0.17424,1,0601-1200 IST,19
EVP,0.17268395,1,0601-1200 IST,20
PRECIP_WATER,0.17201428,1,0601-1200 IST,21
ERA5_v_500hPa,0.15540999,1,0601-1200 IST,22
DOY_sin,0.14951748,1,0601-1200 IST,23
SSH,0.14946292,1,0601-1200 IST,24
DOY_cos,0.14798051,1,0601-1200 IST,25
ERA5_v_700hPa,0.11939765,1,0601-1200 IST,26
ERA5_u_500hPa,0.1165178,1,0601-1200 IST,27
ERA5_D2M,0.10855975,1,0601-1200 IST,28
MAX_3d_avg,0.09801387,1,0601-1200 IST,29
ERA5_SP,0.08738014,1,0601-1200 IST,30
ERA5_t_500hPa,0.0825245,1,0601-1200 IST,31
LIFTED_INDEX,0.0751479,1,0601-1200 IST,32
doy_sin,0.06502966,1,0601-1200 IST,33
ERA5_q_500hPa,0.05116042,1,0601-1200 IST,34
ERA5_t_700hPa,0.05081047,1,0601-1200 IST,35
ERA5_v_850hPa,0.04309694,1,0601-1200 IST,36
RF_3d,0.04086841,1,0601-1200 IST,37
LABEL_lag1,0.038343918,1,0601-1200 IST,38
ERA5_V10,0.03710488,1,0601-1200 IST,39
ERA5_t_850hPa,0.035072625,1,0601-1200 IST,40
doy_cos,0.02538291,1,0601-1200 IST,41
MAX_lag1,0.022392057,1,0601-1200 IST,42
RF_lag1,0.022383783,1,0601-1200 IST,43
ERA5_q_850hPa,0.019368634,1,0601-1200 IST,44
DTR_3d_avg,0.015261177,1,0601-1200 IST,45
AW,0.0023814528,1,0601-1200 IST,46
MONTH_cos,0.0014205422,1,0601-1200 IST,47
MONTH_sin,0.0,1,0601-1200 IST,48
SEASON,0.0,1,0601-1200 IST,49
RF_nonzero,0.0,1,0601-1200 IST,50
HA_flag,0.0,1,0601-1200 IST,51
slot_sin,0.0,1,0601-1200 IST,52
slot_cos,0.0,1,0601-1200 IST,53
ts_label_lag1_slot,0.0,1,0601-1200 IST,54
CAPE,1.006391,2,1201-1800 IST,1
TOTALS_TOTALS,0.8230325,2,1201-1800 IST,2
K_INDEX,0.7747067,2,1201-1800 IST,3
ERA5_T2M,0.5401553,2,1201-1800 IST,4
MIN,0.3477383,2,1201-1800 IST,5
ERA5_CAPE,0.33381936,2,1201-1800 IST,6
ts_any_yesterday,0.31129122,2,1201-1800 IST,7
ERA5_q_700hPa,0.2932229,2,1201-1800 IST,8
DOY_cos,0.2924203,2,1201-1800 IST,9
EVP,0.29092503,2,1201-1800 IST,10
RF_3d,0.2814118,2,1201-1800 IST,11
ERA5_U10,0.27016273,2,1201-1800 IST,12
ERA5_V10,0.25637704,2,1201-1800 IST,13
ERA5_q_500hPa,0.24736224,2,1201-1800 IST,14
ERA5_v_850hPa,0.24309702,2,1201-1800 IST,15
DOY_sin,0.23001203,2,1201-1800 IST,16
